  64,UCLA,=  80.17 ,15,17,80.02(  17),,3,6,|,3  10  |   80.69,61 |   80.58,63 |   78.55
  65,Georgetown,=  80.17 ,15,18,79.28(  31),,1,6,|,4  14  |   80.67,62 |   80.34,66 |   78.77
  66,Houston,=  80.15 ,22,10,73.10( 122),,1,1,|,3   3  |   80.28,65 |   79.86,72 |   80.06
  67,George Washington,=  80.13 ,24,10,74.19( 101),,1,0,|,3   5  |   80.40,63 |   80.38,65 |   79.21
  68,Hawai'i,=  80.13 ,25,5,69.43( 222),,0,1,|,0   2  |   79.92,72 |   80.10,69 |   80.74
  69,Little Rock,=  80.06 ,27,4,69.87( 209),,0,0,|,1   1  |   79.67,76 |   80.16,68 |   81.10
  70,Tulsa,=  79.96 ,20,12,76.71(  74),,2,1,|,4   5  |   80.23,67 |   80.51,64 |   78.79
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
  71,Princeton,=  79.93 ,21,7,70.82( 179),,0,2,|,0   3  |   79.93,70 |   79.72,74 |   80.13
  72,Northern Iowa,=  79.85 ,21,12,74.86(  88),,4,1,|,4   2  |   79.73,74 |   79.12,77 |   80.95
  73,NC State,=  79.85 ,16,17,78.90(  40),,1,7,|,2  12  |   79.93,71 |   80.01,70 |   79.45
  74,Memphis,=  79.62 ,19,15,73.97( 104),,0,3,|,1   8  |   79.94,69 |   78.91,79 |   79.43
  75,Arkansas,=  79.47 ,16,16,77.50(  68),,1,2,|,3   6  |   80.34,64 |   79.39,76 |   77.41
  76,Mississippi,=  79.40 ,20,12,75.98(  78),,0,2,|,1   6  |   79.02,79 |   79.76,73 |   80.16
  77,Evansville,=  79.38 ,24,9,71.35( 162),,0,2,|,0   3  |   79.71,75 |   79.67,75 |   78.27
  78,LSU,=  79.29 ,19,14,77.71(  63),,2,4,|,4   6  |   79.15,78 |   79.91,71 |   79.13
  79,Nebraska,=  79.01 ,16,18,77.66(  65),,1,9,|,2  13  |   79.48,77 |   78.35,90 |   78.38
  80,Monmouth-NJ,=  78.78 ,28,7,70.55( 187),,0,0,|,2   2  |   78.61,83 |   78.94,78 |   79.10
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
  81,Mississippi State,=  78.64 ,14,17,76.96(  70),,0,4,|,2   8  |   78.98,80 |   77.89,94 |   78.42
  82,Arizona State,=  78.50 ,15,17,79.67(  25),,1,5,|,3   8  |   78.56,85 |   78.81,81 |   78.07
  83,Temple,=  78.40 ,21,11,76.74(  72),,1,3,|,5   7  |   77.57,97 |   78.85,80 |   80.56
