  56,Boise State,=  81.80 ,23,9,73.63( 123),0,1,|,,2   3  | ,81.56,56 |   82.35,49 |   81.06
  57,Illinois,=  81.45 ,19,14,78.60(  46),2,4,|,,4   9  | ,81.66,53 |   82.21,52 |   80.11
  58,Rhode Island,=  81.33 ,22,9,74.47( 101),0,1,|,,0   6  | ,80.67,59 |   81.36,58 |   81.58
  59,Buffalo,=  80.73 ,23,9,73.82( 118),0,2,|,,0   2  | ,80.47,62 |   80.76,60 |   80.58
  60,South Carolina,=  80.67 ,16,16,79.58(  26),1,5,|,,5  11  | ,80.59,60 |   81.55,57 |   79.42
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
  61,George Washington,=  80.43 ,22,12,75.52(  84),1,1,|,,2   5  | ,79.69,68 |   80.47,62 |   80.76
  62,Old Dominion,=  80.41 ,25,7,71.54( 177),0,0,|,,2   0  | ,80.53,61 |   80.15,65 |   80.24
  63,Murray State,=  80.40 ,26,5,70.07( 239),0,1,|,,0   1  | ,79.63,70 |   79.73,67 |   81.72
  64,Arizona State,=  80.39 ,18,15,77.71(  62),1,3,|,,3   8  | ,79.82,66 |   80.74,61 |   80.16
  65,Illinois State,=  80.27 ,21,12,74.76(  95),1,5,|,,1   6  | ,79.45,71 |   80.35,64 |   80.60
  66,Richmond,=  80.17 ,20,13,75.64(  83),0,1,|,,3   5  | ,79.64,69 |   80.43,63 |   80.00
  67,Colorado State,=  80.09 ,26,7,72.94( 140),0,0,|,,1   2  | ,79.9,65 |   79.63,68 |   80.48
  68,Valparaiso,=  79.87 ,25,5,70.89( 201),0,0,|,,0   0  | ,78.84,76 |   79.36,70 |   81.25
  69,Michigan,=  79.78 ,15,16,80.53(  13),1,7,|,,2  12  | ,79.73,67 |   79.80,66 |   79.45
  70,Kansas State,=  79.77 ,15,17,81.77(   5),5,8,|,,8  10  | ,80.14,63 |   79.20,73 |   79.75
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
  71,Seton Hall,=  79.76 ,16,15,79.28(  34),2,7,|,,3  11  | ,80.77,58 |   78.98,75 |   79.45
  72,Tulsa,=  79.45 ,23,9,74.22( 107),0,2,|,,0   5  | ,78.22,81 |   79.08,74 |   80.86
  73,Louisiana Tech,=  79.33 ,25,8,71.11( 195),0,0,|,,0   1  | ,78.86,75 |   78.91,77 |   79.94
  74,Temple,=  79.30 ,24,10,74.41( 102),1,2,|,,1   5  | ,77.7,92 |   78.67,80 |   81.61
  75,Georgia State,=  79.21 ,23,9,70.94( 199),0,1,|,,0   1  | ,79.41,72 |   79.38,69 |   78.47
  76,Saint Mary's-Cal.,=  79.13 ,20,10,74.33( 103),0,2,|,,1   5  | ,79.95,64 |   79.20,72 |   77.98
  77,Connecticut,=  78.81 ,20,15,75.83(  82),0,3,|,,3   6  | ,78.37,79 |   79.28,71 |   78.30
  78,Green Bay,=  78.72 ,22,9,72.55( 151),0,1,|,,1   1  | ,77.91,86 |   78.74,78 |   79.13
  79,Penn State,=  78.67 ,18,16,77.81(  56),0,5,|,,1  11  | ,79.09,74 |   78.73,79 |   77.86
  80,Pittsburgh,=  78.58 ,18,15,78.09(  53),2,4,|,,2   9  | ,78.23,80 |   78.96,76 |   78.09
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
  81,Tennessee,=  78.45 ,16,16,79.73(  22),2,4,|,,5  12  | ,77.9,87 |   78.14,84 |   79.02
  82,Creighton,=  78.35 ,14,19,79.49(  28),2,8,|,,3  12  | ,79.18,73 |   78.33,82 |   77.27  1
  83,Clemson,=  78.27 ,16,15,78.04(  54),1,6,|,,3   8  | ,77.89,89 |   78.20,83 |   78.37
  84,Harvard,=  78.21 ,20,7,71.87( 169),0,1,|,,0   1  | ,77.89,88 |   77.41,94 |   79.17
  85,Yale,=  78.01 ,20,10,73.06( 138),0,0,|,,0   3  | ,77.84,90 |   77.65,92 |   78.24
  86,Memphis,=  78.00 ,18,14,74.24( 106),0,3,|,,0   7  | ,78.08,84 |   78.45,81 |   77.06  1
  87,Marquette,=  77.99 ,13,19,80.92(   8),0  1,2,|,,1  15  | ,78.64,77 |   77.70,90 |   77.37
  88,Central Michigan,=  77.98 ,20,9,72.08( 166),0,0,|,,0   0  | ,77.68,93 |   78.11,85 |   77.73
  89,Sam Houston State,=  77.97 ,22,8,68.29( 321),0,0,|,,0   5  | ,77.58,95 |   77.82,88 |   78.16
  90,South Dakota State,=  77.86 ,22,10,69.96( 242),0,2,|,,0   2  | ,78.13,83 |   77.93,87 |   77.17  1
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
  91,Colorado,=  77.83 ,16,17,77.53(  68),0,4,|,,2   8  | ,77.4,98 |   77.95,86 |   77.73
  92,Florida State,=  77.72 ,17,16,77.58(  67),0,6,|,,2   9  | ,78.53,78 |   77.04,99 |   77.44
  93,Wofford,=  77.68 ,26,6,69.59( 266),0,2,|,,1   3  | ,76.17,112 |   76.40,111 |   80.83
  94,Toledo,=  77.59 ,20,13,73.43( 127),0,1,|,,0   3  | ,77.62,94 |   77.68,91 |   77.10  1
  95,Bowling Green,=  77.33 ,21,10,71.78( 171),0,0,|,,0   1  | ,77.26,99 |   76.91,100 |   77.54
  96,Georgia Tech,=  77.12 ,12,19,79.29(  32),0,7,|,,3   9  | ,77.43,97 |   77.77,89 |   75.72  1
  97,Northwestern,=  77.06 ,15,17,78.55(  48),0,7,|,,2  11  | ,77.58,96 |   76.83,103 |   76.50  1
  98,California,=  77.06 ,18,15,77.10(  72),0,6,|,,1  10  | ,76.41,108 |   76.07,117 |   78.64
  99,UTEP,=  77.01 ,22,11,72.07( 167),1,1,|,,1   1  | ,76.48,107 |   77.12,97 |   77.01  1
 100;,UC Irvine,=  76.94 ,19,12,72.66( 145),0,1,|,,0   2  | ,78.21,82 |   76.41,110 |   76.09
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
 101;,Wyoming,=  76.92 ,23,9,72.12( 165),0,0,|,,1   3  | ,75.28,126 |   76.34,112 |   79.06
 102;,New Mexico State,=  76.87 ,21,10,68.51( 316),0,2,|,,0   2  | ,77.92,85 |   77.37,95 |   75.03
 103;,Washington,=  76.80 ,16,15,76.77(  77),2,2,|,,4   7  | ,75.99,116 |   76.65,104 |   77.41
 104;,UNLV,=  76.80 ,17,15,75.02(  90),1,2,|,,1   6  | ,76.68,104 |   77.15,96 |   76.12
 105;,La Salle,=  76.77 ,17,16,75.91(  81),0,2,|,,2   6  | ,76.62,106 |   76.84,102 |   76.45
 106;,Nebraska,=  76.77 ,13,18,79.08(  36),1,3,|,,1   9  | ,77.79,91 |   76.52,107 |   75.78
 107;,Oregon State,=  76.67 ,16,14,76.78(  76),1,2,|,,2   7  | ,75.31,125 |   76.65,105 |   77.69
 108;,St. Bonaventure,=  76.63 ,18,13,73.53( 124),0,0,|,,2   3  | ,77.11,101 |   76.02,118 |   76.56
 109;,NC Central,=  76.61 ,22,8,65.74( 348),0,1,|,,0   3  | ,76.99,103 |   76.26,114 |   76.30
 110;,Cleveland State,=  76.48 ,17,14,72.58( 149),0,2,|,,0   3  | ,75.58,120 |   77.56,93 |   75.74
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
 111;,Boston College,=  76.48 ,13,19,79.24(  35),0,8,|,,2  11  | ,76.33,110 |   76.85,101 |   75.82
 112;,Iona,=  76.46 ,26,9,70.75( 210),0,1,|,,0   1  | ,75,127 |   76.60,106 |   77.37
 113;,UC Davis,=  76.44 ,23,7,71.25( 189),0,0,|,,0   1  | ,75.38,124 |   75.65,120 |   78.19
 114;,Kent State,=  76.36 ,21,11,72.53( 152),0,1,|,,0   1  | ,75.5,121 |   75.95,119 |   77.36
