11/13/2017,Southeast Missouri St.,95,Louisiana Tech,96 1
11/13/2017,Southern,74,Marshall,83
11/13/2017,Ecclesia,54,McNeese St.,101
11/13/2017,Central Michigan,65,Michigan,72
11/13/2017,Eastern Kentucky,75,Mississippi,85
11/13/2017,Wagner,55,Missouri,99
11/13/2017,Middle Tennessee,72,Murray St.,67
11/13/2017,North Texas,67,Nebraska,86
11/13/2017,Rhode Island,81,Nevada,88
11/13/2017,Lynchburg,83,Norfolk St.,80
11/13/2017,Embry Riddle,82,Northern Arizona,70
11/13/2017,UC Davis,74,Northern Colorado,59
11/13/2017,Alcorn St.,45,Northern Iowa,73
11/13/2017,Saint Peter's,66,Northwestern,75
11/13/2017,Mount St. Mary's,62,Notre Dame,88
11/13/2017,New Orleans,68,Oakland,87
11/13/2017,Charlotte,65,Oklahoma St.,83
11/13/2017,Prairie View A&M,67,Oregon,100
11/13/2017,Wyoming,75,Oregon St.,66
11/13/2017,La Salle,75,Penn,71 2
11/13/2017,Montana,83,Pittsburgh,78 1
11/13/2017,Minnesota,86,Providence,74
11/13/2017,Brown,79,Quinnipiac,72
11/13/2017,Jacksonville St.,94,Richmond,61
11/13/2017,Rockhurst,50,Saint Louis,74
11/13/2017,New Mexico St.,74,Saint Mary's,92
11/13/2017,Alabama A&M,68,Samford,87
11/13/2017,St. Francis PA,63,San Francisco,75
11/13/2017,East Tennessee St.,76,Savannah St.,61
11/13/2017,Florida Gulf Coast,86,Siena,53
11/13/2017,Mobile,49,South Alabama,71
11/13/2017,Western Michigan,60,South Carolina,78
11/13/2017,Morgan St.,63,South Florida,53
11/13/2017,Tennessee Tech,63,TCU,100
11/13/2017,Reinhardt,53,Tennessee St.,92
11/13/2017,Frostburg St.,45,Towson,89
11/13/2017,Southeastern Louisiana,66,Tulane,89
11/13/2017,Oral Roberts,71,Tulsa,90
11/13/2017,Chattanooga,47,UAB,89
11/13/2017,Lees McRae,60,UNC Asheville,92
11/13/2017,North Dakota St.,65,USC,75
11/13/2017,Bethune Cookman,74,UT Rio Grande Valley,92
11/13/2017,Mississippi Valley St.,51,Utah,91
11/13/2017,Montana St.,73,Utah St.,81
11/13/2017,Trinity Christian,46,Valparaiso,83
11/13/2017,North Florida,85,VCU,95
11/13/2017,Austin Peay,49,Virginia,93
11/13/2017,College of Charleston,63,Wichita St.,81
11/13/2017,Rider,75,Xavier,101
11/14/2017,Canisius,79,Air Force,93
11/14/2017,Lipscomb,64,Alabama,86
11/14/2017,San Diego St.,68,Arizona St.,90
11/14/2017,John Jay,43,Army,92
11/14/2017,Sacred Heart,53,Boston College,73
11/14/2017,Delaware,53,Bradley,61
11/14/2017,Silver Lake,53,Chicago St.,101
11/14/2017,Denver,62,Colorado,89
11/14/2017,Winthrop,76,Colorado St.,80
11/14/2017,Stony Brook,64,Connecticut,72
11/14/2017,Emerson,43,Dartmouth,78
11/14/2017,UNC Wilmington,81,Davidson,108
11/14/2017,VMI,61,Duquesne,77
11/14/2017,Loyola MD,52,Fairfield,64
11/14/2017,George Washington,67,Florida St.,87
11/14/2017,Elon,67,Furman,76
11/14/2017,USC Upstate,65,Georgia,74
11/14/2017,Howard,69,Gonzaga,106
11/14/2017,Arlington Baptist,67,Houston Baptist,108
11/14/2017,Utah Valley,84,Idaho St.,71
11/14/2017,Kentucky,61,Kansas,"65 N   Chicago, IL"
11/14/2017,UMKC,51,Kansas St.,72
11/14/2017,Coastal Carolina,60,Lamar,66
11/14/2017,Monmouth,80,Lehigh,72
11/14/2017,San Francisco St.,70,Long Beach St.,95
11/14/2017,Columbia,87,Longwood,77
11/14/2017,Louisiana College,58,Louisiana Lafayette,113
11/14/2017,Purdue,86,Marquette,71
11/14/2017,Little Rock,62,Memphis,70
11/14/2017,Jackson St.,58,Mercer,86
11/14/2017,Wright St.,67,Miami OH,73 1
11/14/2017,Duke,88,Michigan St.,"81 N   Chicago, IL"
11/14/2017,Nebraska Omaha,71,New Mexico,103
11/14/2017,Lafayette,80,NJIT,96
11/14/2017,Bryant,72,North Carolina St.,95
11/14/2017,Green Bay,65,Northern Illinois,85
11/14/2017,Cal Lutheran,82,Pepperdine,107
11/14/2017,Walla Walla,52,Portland,89
11/14/2017,Willamette,60,Portland St.,111
11/14/2017,Georgia St.,75,Rice,54
11/14/2017,Cleveland St.,38,Rutgers,70
11/14/2017,Notre Dame de Namur,53,Sacramento St.,74
11/14/2017,Hardin Simmons,56,Sam Houston St.,72
11/14/2017,Alabama St.,63,South Dakota St.,94
11/14/2017,Central Connecticut,55,St. John's,80
11/14/2017,Eastern Washington,67,Stanford,61
11/14/2017,Iona,62,Syracuse,71
11/14/2017,High Point,53,Tennessee,84
11/14/2017,New Hampshire,60,Texas,78
11/14/2017,Maine,44,Texas Tech,83
11/14/2017,Ohio Northern,62,Toledo,72
11/14/2017,Chapman,52,UC Irvine,91
11/14/2017,Nicholls St.,77,Villanova,113
11/14/2017,Liberty,79,Wake Forest,66
11/14/2017,West Coast Baptist,45,Weber St.,110
11/14/2017,South Carolina St.,54,Yale,86
11/14/2017,Franciscan,46,Youngstown St.,134
11/15/2017,Oakland City,50,Austin Peay,109
11/15/2017,Jacksonville St.,76,Buffalo,81
11/15/2017,Holy Names,47,Cal Poly,76
11/15/2017,Columbia International,58,Charleston Southern,98
11/15/2017,Radford,73,East Carolina,66
11/15/2017,FDU Florham,49,Fairleigh Dickinson,111
11/15/2017,Delaware St.,71,Fort Wayne,85
11/15/2017,Mount St. Mary's,68,Georgetown,102
11/15/2017,New Rochelle,68,LIU Brooklyn,104
11/15/2017,UC Riverside,64,Loyola Marymount,76
11/15/2017,St. Francis NY,79,Manhattan,80 1
11/15/2017,Butler,65,Maryland,79
11/15/2017,Niagara,81,Minnesota,107
11/15/2017,Southern,58,Missouri St.,86
11/15/2017,Montana Western,81,Montana St.,109
11/15/2017,Bucknell,81,North Carolina,93
11/15/2017,The Citadel,73,North Carolina A&T,92
11/15/2017,Wartburg,43,Northern Iowa,72
11/15/2017,Creighton,92,Northwestern,88
11/15/2017,Ball St.,69,Oklahoma,108
11/15/2017,UC Davis,62,Pacific,58
11/15/2017,Navy,45,Penn,66
11/15/2017,Montana,57,Penn St.,70
11/15/2017,UC Santa Barbara,62,Pittsburgh,70
11/15/2017,BYU,65,Princeton,56
11/15/2017,Hartford,53,Rider,89
11/15/2017,Cal St. Fullerton,57,Saint Mary's,76
11/15/2017,Robert Morris,53,San Diego,65
11/15/2017,Nevada,93,Santa Clara,63
11/15/2017,Middle Georgia St.,80,Savannah St.,114
11/15/2017,Indiana,68,Seton Hall,84
11/15/2017,Valparaiso,94,SIU Edwardsville,69
11/15/2017,Northwestern St.,35,SMU,81
11/15/2017,St. Edwards,66,Stephen F. Austin,89
11/15/2017,South Florida,75,Stetson,72
11/15/2017,South Dakota,71,TCU,76
11/15/2017,North Carolina Central,57,Tennessee Martin,74
11/15/2017,UT Rio Grande Valley,82,Texas A&M Corpus Chris,75 1
11/15/2017,UTSA,79,Texas St.,78
11/15/2017,Gardner Webb,65,UCF,68
11/15/2017,Central Arkansas,101,UCLA,106 1
11/15/2017,Marist,73,UMass Lowell,76
11/15/2017,NC Wesleyan,48,UNC Greensboro,82
11/15/2017,Prairie View A&M,63,UNLV,98
11/15/2017,Mississippi Valley St.,47,Utah St.,83
11/15/2017,Seattle,59,Washington St.,75
11/15/2017,American,64,West Virginia,98
11/15/2017,Hiwassee,57,Western Carolina,76
11/15/2017,Eastern Illinois,54,Western Illinois,56
11/15/2017,Kentucky Wesleyan,53,Western Kentucky,83
11/15/2017,Hampton,76,William & Mary,83
11/16/2017,Howard Payne,62,Abilene Christian,112
11/16/2017,Iowa St.,104,Appalachian St.,"98 N   Conway, SC"
11/16/2017,Cal St. Bakersfield,59,Arizona,91
11/16/2017,Wofford,65,California,79
11/16/2017,Hiwassee,46,Chattanooga,94
11/16/2017,Coppin St.,54,Cincinnati,97
11/16/2017,Cornell,61,Colgate,72
11/16/2017,Johnson & Wales CO,59,Denver,91
11/16/2017,Kentucky St.,66,Eastern Kentucky,97
11/16/2017,Arkansas St.,59,Eastern Michigan,76
11/16/2017,Southeast Missouri St.,50,Evansville,66
11/16/2017,North Florida,68,Florida,108
11/16/2017,Edward Waters,59,Florida Atlantic,91
11/16/2017,Binghamton,57,George Mason,69
11/16/2017,Bluefield St.,52,Georgia Southern,120
11/16/2017,Dayton,69,Hofstra,"72 N   Charleston, SC"
11/16/2017,Harvard,69,Holy Cross,73
11/16/2017,Delaware St.,55,Illinois Chicago,95
11/16/2017,Auburn,83,Indiana St.,"64 N   Charleston, SC"
11/16/2017,Grambling St.,74,Iowa,85
11/16/2017,Piedmont,54,Kennesaw St.,77
11/16/2017,Ohio Christian,45,Kent St.,90
11/16/2017,South Alabama,73,La Salle,81
11/16/2017,Jarvis Christian,66,Lamar,103
11/16/2017,Southeastern Louisiana,75,Louisiana Monroe,86
11/16/2017,Samford,86,LSU,105
