FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  61,Boston College,=  81.34 ,22,12,77.12(  56),,2,5,|,,4   8,| ,82.40   49 | ,80.22,73
  62,New Mexico,=  81.12 ,22,12,74.87(  89),,0,0,|,,3   4,| ,79.27   76 | ,83.16,44
  63,Tulsa,=  80.95 ,24,11,75.49(  75),,0,6,|,,1   7,| ,81.22   57 | ,80.48,68
  64,Cleveland State,=  80.86 ,23,11,75.29(  83),,2,2,|,,3   6,| ,80.77   62 | ,80.73,62
  65,Auburn,=  80.85 ,23,12,74.53(  94),,0,1,|,,3   5,| ,80.07   69 | ,81.45,58
  66,Virginia Tech,=  80.48 ,19,15,78.67(  35),,2,6,|,,4  11,| ,81.09   58 | ,79.72,76
  67,Nebraska,=  80.40 ,18,13,76.66(  62),,2,6,|,,4   9,| ,80.06   70 | ,80.52,66
  68,VCU(Va. Commonwea,lth)   =  80.36 ,24,10,73.04( 138),,0,2,|,,0   2,| ,79.12   80 | ,81.53,57
  69,Creighton,=  80.32 ,27,8,72.59( 154),,0,0,|,,0   0,| ,80.19   68 | ,80.23,72
  70,South Carolina,=  80.25 ,21,10,73.83( 114),,0,1,|,,2   5,| ,79.70   72 | ,80.61,64
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  71,Cincinnati,=  80.19 ,18,14,77.45(  51),,1,8,|,,4   9,| ,80.39   66 | ,79.78,75
  72,Mississippi State,=  80.16 ,22,13,76.00(  68),,0,1,|,,3   4,| ,79.72   71 | ,80.38,69
  73,UNLV,=  80.07 ,21,11,75.30(  82),,1,0,|,,5   5,| ,79.68   73 | ,80.24,71
  74,Providence,=  79.84 ,19,14,77.84(  48),,2,7,|,,2  12,| ,80.62   65 | ,78.93,82
  75,Illinois State,=  79.53 ,24,10,72.85( 146),,0,0,|,,0   1,| ,78.34   85 | ,80.61,65
  76,Seton Hall,=  79.43 ,16,15,78.06(  45),,0,10,|,,2  11,| ,79.19   78 | ,79.45,78
  77,NC State,=  79.24 ,16,14,76.20(  64),,1,6,|,,2  11,| ,78.95   81 | ,79.32,80
  78,Niagara,=  79.14 ,26,9,71.85( 178),,0,1,|,,0   1,| ,78.64   84 | ,79.43,79
  79,UTEP,=  79.14 ,23,14,75.05(  87),,0,3,|,,1   3,| ,79.23   77 | ,78.83,83
  80,North Dakota Stat,e      =  79.12 ,24,7,70.54( 218),,0,1,|,,0   3,| ,77.69   88 | ,80.5,67
