  63,Alabama,=  80.62 ,22,13,76.39(  86),,0,,3,|,,1   6,|   79.91   68 | ,81.28,59
  64,Arizona State,=  80.47 ,22,13,76.04(  98),,0,,4,|,,3   7,|   80.74   62 | ,80.11,69
  65,Valparaiso,=  80.47 ,25,8,72.29( 165),,0,,3,|,,0   3,|   80.69   63 | ,80.13,68
  66,Dayton,=  80.33 ,17,14,75.94(  99),,0,,2,|,,0   7,|   80.01   66 | ,80.57,64
  67,Providence,=  80.33 ,19,15,77.62(  60),,0,,6,|,,2  10,|   79.99   67 | ,80.57,63
  68,Akron,=  80.11 ,25,7,72.45( 159),,0,,2,|,,1   3,|   80.62   64 | ,79.51,74
  69,Santa Clara,=  80.09 ,24,12,73.60( 129),,1,,5,|,,1   5,|   80.80   61 | ,79.32,79
  70,Illinois State,=  80.00 ,18,15,76.08(  97),,1,,5,|,,1   5,|   78.74   81 | ,81.35,58
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
  71,Davidson,=  80.00 ,25,8,69.05( 281),,0,,4,|,,0   4,|   79.54   71 | ,80.36,65
  72,Weber State,=  79.71 ,28,7,67.70( 317),,0,,0,|,,0   0,|   79.45   73 | ,79.87,71
  73,Northern Iowa,=  79.71 ,20,15,76.98(  74),,3,,3,|,,3   6,|   79.68   70 | ,79.63,73
  74,Arkansas,=  79.51 ,19,13,76.15(  95),,1,,4,|,,3   6,|   78.65   82 | ,80.33,67
  75,Tennessee,=  79.27 ,20,13,77.36(  65),,2,,1,|,,4   7,|   79.05   76 | ,79.38,77
  76,Purdue,=  79.22 ,16,18,78.88(  24),,2,,7,|,,4  10,|   78.46   85 | ,79.94,70
  77,Xavier-Ohio,=  79.21 ,17,14,77.17(  70),,1,,1,|,,5   3,|   79.27   74 | ,79.04,81
  78,Detroit,=  79.19 ,18,13,75.05( 114),,0,,4,|,,0   5,|   78.86   78 | ,79.44,75
  79,Washington,=  79.02 ,18,16,78.63(  32),,1,,6,|,,2  10,|   79.19   75 | ,78.73,82
  80,North Dakota Stat,e      =  79.01 ,22,10,70.38( 241),,0,,2,|,,0   2,|   78.22   88 | ,79.76,72
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
  81,Louisiana Tech,=  78.99 ,26,7,70.99( 214),,0,,0,|,,0   0,|   79.46   72 | ,78.43,84
  82,Ohio,=  78.96 ,24,10,71.51( 184),,0,,0,|,,0   2,|   78.49   84 | ,79.35,78
  83,Saint Joseph's-Pa,.      =  78.84 ,18,14,76.29(  89),,0,,4,|,,2   6,|   78.20   89 | ,79.43,76
  84,Florida Gulf Coas,t      =  78.45 ,24,11,71.32( 192),,2,,4,|,,3   4,|   78.90   77 | ,77.9,86
  85,Evansville,=  78.07 ,20,15,75.88( 101),,2,,2,|,,2   5,|   78.63   83 | ,77.41,90
