 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
 161,Yale,=  73.56 ,17,10,71.97( 194),,0,,1,|,,0   3,|   75.30  138 |   73.02,162
 162,Quinnipiac,=  73.06 ,18,14,69.71( 280),,0,,0,|,,0   0,|   71.59  185 |   73.32,161
 163,Georgia Tech,=  73.05 ,11,20,76.47(  77),,0,,3,|,,2   6,|   72.83  167 |   72.99,163
 164,Youngstown State,=  73.00 ,14,15,73.05( 159),,0,,0,|,,0   0,|   73.55  160 |   72.75,167
 165,Cal Poly-SLO,=  72.86 ,16,15,69.90( 273),,0,,0,|,,0   4,|   69.99  210 |   73.47,158
 166,North Texas,=  72.77 ,15,14,71.20( 223),,0,,0,|,,0   1,|   71.96  178 |   72.86,166
 167,Delaware,=  72.58 ,18,14,72.00( 191),,0,,0,|,,0   2,|   73.26  163 |   72.29,171
 168,Stephen F. Austin,=  72.54 ,16,12,68.48( 312),,0,,0,|,,0   0,|   70.29  200 |   72.99,164
 169,CS Fullerton,=  72.52 ,19,10,68.33( 316),,0,,1,|,,1   2,|   72.59  170 |   72.39,168
 170,Norfolk State,=  72.39 ,25,9,68.45( 313),,1,,3,|,,1   3,|   78.15   96 |   70.89,191
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
 171,Green Bay,=  72.32 ,13,15,75.01( 114),,0,,2,|,,0   3,|   74.61  145 |   71.63,178
 172,Tennessee State,=  72.18 ,18,13,71.51( 205),,0,,2,|,,1   5,|   74.28  149 |   71.53,180
 173,Texas-San Antonio,(UTSA) =  72.12 ,16,14,70.01( 268),,0,,0,|,,0   0,|   70.90  190 |   72.32,170
 174,George Washington,=  72.10 ,10,21,77.16(  61),,0,,3,|,,0   8,|   71.62  184 |   72.11,174
 175,Florida Gulf Coas,t      =  71.93 ,14,17,72.84( 166),,0,,0,|,,0   3,|   71.31  188 |   71.97,175
 176,Tulane,=  71.92 ,13,16,71.21( 222),,0,,2,|,,0   2,|   69.72  216 |   72.36,169
 177,Charleston Southe,rn     =  71.85 ,16,12,69.48( 289),,0,,3,|,,0   3,|   70.31  199 |   72.12,173
 178,Houston,=  71.81 ,14,15,72.64( 171),,0,,1,|,,0   1,|   72.13  177 |   71.61,179
 179,Fresno State,=  71.77 ,11,20,73.81( 133),,0,,0,|,,0   1,|   69.74  214 |   72.15,172
 180,Air Force,=  71.69 ,11,16,74.78( 118),,0,,4,|,,0   6,|   72.88  166 |   71.27,183
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
 181,Western Illinois,=  71.67 ,16,15,71.98( 192),,0,,1,|,,0   1,|   72.49  173 |   71.35,182
 182,Western Michigan,=  71.63 ,13,20,73.77( 139),,0,,3,|,,0   4,|   70.42  197 |   71.83,177
 183,Coastal Carolina,=  71.58 ,15,12,69.57( 286),,0,,0,|,,0   0,|   70.09  208 |   71.84,176
 184,American U.,=  71.56 ,20,12,69.15( 298),,0,,1,|,,0   1,|   72.81  168 |   71.13,184
 185,Columbia,=  71.34 ,13,15,71.14( 224),,0,,0,|,,0   3,|   70.77  193 |   71.38,181
 186,Northeastern,=  71.34 ,14,17,73.91( 131),,0,,0,|,,0   3,|   71.92  179 |   71.08,186
 187,North Florida(UNF,)      =  71.31 ,15,16,73.87( 132),,0,,3,|,,0   6,|   72.58  171 |   70.87,192
 188,Wake Forest,=  71.27 ,13,18,75.73(  96),,0,,4,|,,0   7,|   73.54  161 |   70.57,195
 189,Ark.-Little Rock,=  71.19 ,14,16,72.59( 176),,0,,2,|,,0   2,|   71.67  183 |   70.96,189
