FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 111,East Tennessee St,ate    =  76.42 ,23,12,71.66( 188),,0,1,|,,0   3,| ,76.93  104 | ,75.57,113
 112,Iowa,=  76.39 ,11,20,79.81(  18),,1,6,|,,3  14,| ,73.82  146 | ,78.97,79
 113,Portland,=  76.39 ,20,12,73.41( 140),,0,2,|,,0   4,| ,76.22  112 | ,76.19,107
 114,Wright State,=  76.04 ,17,14,74.44( 108),,1,2,|,,1   3,| ,76.22  113 | ,75.51,115
 115,Georgia Tech,=  76.04 ,13,18,77.02(  62),,1,2,|,,3   8,| ,73.95  144 | ,77.97,83
 116,South Carolina,=  75.84 ,14,16,77.40(  59),,1,4,|,,3   7,| ,75.95  117 | ,75.37,116
 117,Buffalo,=  75.83 ,19,14,71.68( 187),,0,1,|,,0   1,| ,75.36  124 | ,75.94,109
 118,Hofstra,=  75.82 ,20,12,74.12( 122),,0,1,|,,1   5,| ,78.26   87 | ,73.28,146
 119,Wis.-Milwaukee,=  75.62 ,19,14,75.29(  94),,2,3,|,,2   4,| ,77.44   98 | ,73.58,143
 120,Rider,=  75.59 ,23,11,71.23( 203),,0,1,|,,0   1,| ,77.10  103 | ,73.82,139
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 121,Vermont,=  75.47 ,23,9,68.32( 302),,0,2,|,,0   2,| ,76.37  110 | ,74.26,133
 122,Akron,=  75.43 ,22,13,71.75( 183),,0,1,|,,0   2,| ,76.13  115 | ,74.4,128
 123,Oklahoma,=  75.43 ,14,17,78.21(  41),,0,7,|,,0  11,| ,76.26  111 | ,74.27,132
 124,Mississippi State,=  75.33 ,17,14,74.57( 105),,1,1,|,,1   6,| ,75.91  118 | ,74.42,126
 125,Arizona State,=  75.03 ,12,19,78.35(  37),,0,4,|,,0   8,| ,74.72  128 | ,74.98,120
 126,Air Force,=  74.95 ,15,15,75.82(  80),,0,4,|,,0   7,| ,75.22  127 | ,74.33,131
 127,Murray State,=  74.92 ,21,9,69.00( 280),,0,0,|,,0   1,| ,75.23  126 | ,74.26,134
 128,South Florida,=  74.85 ,10,23,80.78(  13),,0  1,2,|,,2  14,| ,74.25  137 | ,75.11,119
 129,Furman,=  74.80 ,20,11,71.29( 199),,0,0,|,,0   1,| ,75.85  120 | ,73.43,144
 130,Northern Colorado,=  74.79 ,19,11,70.58( 231),,0,3,|,,0   3,| ,74.43  134 | ,74.8,121
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 131,Saint Peter's,=  74.71 ,20,14,73.40( 141),,0,1,|,,1   2,| ,76.46  109 | ,72.7,156
 132,Montana,=  74.68 ,19,11,70.64( 227),,0,0,|,,1   0,| ,73.52  148 | ,75.52,114
 133,IUPUI,=  74.54 ,17,14,73.12( 149),,0,3,|,,0   4,| ,74.16  140 | ,74.56,124
 134,San Francisco,=  74.50 ,17,15,74.43( 109),,0,3,|,,1   5,| ,75.25  125 | ,73.42,145
 135,Detroit,=  74.43 ,16,16,73.96( 126),,0,3,|,,0   3,| ,74.09  141 | ,74.41,127
 136,South Dakota Stat,e      =  74.23 ,17,12,69.59( 262),,0,0,|,,0   0,| ,71.68  174 | ,76.59,101
 137,Texas Tech,=  74.19 ,13,19,77.10(  61),,0,4,|,,0   9,| ,73.32  152 | ,74.72,122
 138,Utah,=  74.19 ,12,18,77.94(  47),,0,6,|,,0  10,| ,73.90  145 | ,74.12,136
 139,St. Bonaventure,=  74.05 ,16,15,74.21( 115),,0,0,|,,1   4,| ,74.62  129 | ,73.13,150
 140,East Carolina,=  74.02 ,15,16,75.41(  91),,0,0,|,,0   2,| ,74.55  131 | ,73.14,149
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 141,Jacksonville,=  73.88 ,19,12,70.54( 233),,1,0,|,,1   2,| ,74.49  133 | ,72.92,152
 142,Oral Roberts,=  73.82 ,19,16,72.74( 155),,0,0,|,,0   1,| ,73.08  156 | ,74.21,135
 143,Robert Morris,=  73.82 ,18,14,71.52( 191),,0,3,|,,0   3,| ,74.01  142 | ,73.26,147
 144,Loyola-Chicago,=  73.73 ,16,15,72.20( 171),,0,2,|,,0   3,| ,73.03  157 | ,74.09,137
 145,Davidson,=  73.72 ,17,15,71.75( 182),,0,1,|,,0   3,| ,73.31  153 | ,73.77,140
 146,Ohio University,=  73.71 ,19,16,71.96( 178),,0,1,|,,0   2,| ,74.24  138 | ,72.84,154
 147,Evansville,=  73.52 ,15,16,74.76( 102),,1,3,|,,1   3,| ,74.41  135 | ,72.28,163
 148,Austin Peay,=  73.47 ,18,14,70.66( 224),,0,1,|,,0   1,| ,72.22  166 | ,74.39,129
 149,Lipscomb,=  73.29 ,16,13,71.62( 189),,0,1,|,,1   3,| ,73.31  154 | ,72.92,151
