Round of 64,Round of 32,Sweet 16,Elite 8,Final 4,Championship Game
14 Boise State - 6.26%,8 Brigham Young - 1.54%,14 Cal State Fullerton - 0.24%,10 South Alabama - 0.11%,12 Temple - 0.04%,12 Western Kentucky - 0.02%
13 Oral Roberts - 6.2%,9 Arkansas - 1.36%,16 Portland State - 0.23%,12 Temple - 0.11%,15 Belmont - 0.04%,13 Winthrop - 0.01%
14 Cal State Fullerton - 3.79%,14 Cal State Fullerton - 0.98%,15 UMBC - 0.23%,14 Cal State Fullerton - 0.09%,10 South Alabama - 0.03%,10 South Alabama - 0.01%
15 Belmont - 1.49%,15 Belmont - 0.55%,13 Oral Roberts - 0.23%,13 Winthrop - 0.08%,15 American University - 0.03%,13 Siena - 0.01%
15 UMBC - 1.27%,15 UMBC - 0.43%,15 Austin Peay - 0.23%,15 Belmont - 0.08%,14 Cal State Fullerton - 0.03%,14 Cal State Fullerton - 0.01%
15 American University - 1.07%,15 Austin Peay - 0.43%,13 San Diego - 0.2%,15 American University - 0.07%,13 Oral Roberts - 0.03%,15 UMBC - 0.01%
15 Austin Peay - 0.95%,15 American University - 0.42%,13 Siena - 0.19%,13 Oral Roberts - 0.07%,13 San Diego - 0.03%,16 Texas-Arlington - 0.01%
16 Portland State - 0.78%,16 Portland State - 0.38%,16 Texas-Arlington - 0.18%,13 San Diego - 0.07%,13 Winthrop - 0.02%,13 Oral Roberts - 0.01%
16 Texas-Arlington - 0.59%,16 Texas-Arlington - 0.29%,16 Mississippi Valley State - 0.18%,15 Austin Peay - 0.06%,13 Siena - 0.02%,15 Austin Peay - 0.01%
16 Mississippi Valley State - 0.49%,16 Mississippi Valley State - 0.25%,16 Mount St Mary's - 0.16%,13 Siena - 0.05%,15 UMBC - 0.02%,13 San Diego - 0.01%
16 Mount St Mary's - 0.43%,16 Mount St Mary's - 0.22%,3 Xavier - 0.0%,15 UMBC - 0.05%,15 Austin Peay - 0.02%,15 Belmont - 0.01%
